distiller_id,scan_number,datetime
04165,4653,2023-10-13 20:52:39
04166,4654,2023-10-13 20:54:58
04167,4655,2023-10-13 20:57:20
04168,4656,2023-10-13 20:59:38
04169,4657,2023-10-13 21:02:05
04170,4658,2023-10-13 21:04:29
04171,4659,2023-10-13 21:06:49
04172,4660,2023-10-13 21:08:59
04173,4661,2023-10-13 21:11:18
04174,4662,2023-10-13 21:13:42
04175,4663,2023-10-13 21:16:06
04176,4664,2023-10-13 21:18:18
04177,4665,2023-10-13 21:20:37
04178,4666,2023-10-13 21:22:57
04179,4667,2023-10-13 21:25:18
04180,4668,2023-10-13 21:27:40
04181,4669,2023-10-13 21:30:07
04182,4670,2023-10-13 21:32:29
04183,4671,2023-10-13 21:34:40
04184,4672,2023-10-13 21:37:01
04185,4673,2023-10-13 21:39:23
04186,4674,2023-10-13 21:41:46
04187,4675,2023-10-13 21:44:04
04188,4676,2023-10-13 21:46:27
04189,4677,2023-10-13 21:48:41
04190,4678,2023-10-13 21:50:58
04191,4679,2023-10-13 21:53:13
04192,4680,2023-10-13 21:55:38
04193,4681,2023-10-13 21:57:58
04195,4682,2023-10-13 22:00:24
04196,4683,2023-10-13 22:02:41
04197,4684,2023-10-13 22:04:56
04198,4685,2023-10-13 22:07:19
04199,4686,2023-10-13 22:09:40
04200,4687,2023-10-13 22:11:58
04202,4688,2023-10-13 22:14:24
04203,4689,2023-10-13 22:16:39
04204,4690,2023-10-13 22:18:56
04205,4691,2023-10-13 22:21:19
04206,4692,2023-10-13 22:23:39
04207,4693,2023-10-13 22:25:57
04209,4694,2023-10-13 22:28:17
04210,4695,2023-10-13 22:30:38
04211,4696,2023-10-13 22:32:59
04212,4697,2023-10-13 22:35:27
04213,4698,2023-10-13 22:37:46
